id,category,item,price,rating,reviews,url
B09WNK39JN,Amazon Devices & Accessories,"Amazon Echo Pop (newest model), Our smallest Alexa speaker, Fits in any room, Charcoal4.7 out of 5 stars83,6721 offer from$39.99",Not Found,4.7 out of 5 stars,"83,672",https://www.amazon.com/product-reviews/B09WNK39JN/ref=zg_bs_g_amazon-devices_d_sccl_18_cr/000-1042540-5283984
B0C5QRZ47P,Amazon Devices & Accessories,"Ring Outdoor Cam (Stick Up Cam) | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-Way Talk, Motion alerts, Works with Alexa | White4.6 out of 5 stars74,3713 offers from$59.99",Not Found,4.6 out of 5 stars,"74,371",https://www.amazon.com/product-reviews/B0C5QRZ47P/ref=zg_bs_g_amazon-devices_d_sccl_19_cr/000-1042540-5283984
B0CNVCQZG1,Amazon Devices & Accessories,"Amazon Kindle (16 GB) - Lightest and most compact Kindle, now with faster page turns, and higher contrast ratio, for an enhanced reading experience - Matcha4.6 out of 5 stars4,2693 offers from$93.49",Not Found,4.6 out of 5 stars,"4,269",https://www.amazon.com/product-reviews/B0CNVCQZG1/ref=zg_bs_g_amazon-devices_d_sccl_20_cr/000-1042540-5283984
B0BHZT5S12,Amazon Devices & Accessories,"Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black4.5 out of 5 stars24,7091 offer from$139.99",Not Found,4.5 out of 5 stars,"24,709",https://www.amazon.com/product-reviews/B0BHZT5S12/ref=zg_bs_g_amazon-devices_d_sccl_21_cr/000-1042540-5283984
B08CKHPP52,Amazon Devices & Accessories,"Ring Video Doorbell Wired (newest model), Use Two-Way Talk, advanced motion detection, HD camera and real-time alerts to monitor your front door (wiring required)4.4 out of 5 stars75,7401 offer from$49.99",Not Found,4.4 out of 5 stars,"75,740",https://www.amazon.com/product-reviews/B08CKHPP52/ref=zg_bs_g_amazon-devices_d_sccl_22_cr/000-1042540-5283984
B0B6GLQJMV,Amazon Devices & Accessories,"Ring Indoor Cam (newest model) — Home or business security in 1080p HD video, White4.7 out of 5 stars27,1461 offer from$59.99",Not Found,4.7 out of 5 stars,"27,146",https://www.amazon.com/product-reviews/B0B6GLQJMV/ref=zg_bs_g_amazon-devices_d_sccl_23_cr/000-1042540-5283984
B09RX4HKTD,Amazon Devices & Accessories,"Amazon Fire TV Alexa Voice Remote Pro (newest model) with remote finder, TV controls, and backlit buttons4.5 out of 5 stars19,2192 offers from$26.87",Not Found,4.5 out of 5 stars,"19,219",https://www.amazon.com/product-reviews/B09RX4HKTD/ref=zg_bs_g_amazon-devices_d_sccl_24_cr/000-1042540-5283984
B07WML2XTD,Amazon Devices & Accessories,"Ring Chime Pro4.6 out of 5 stars54,1022 offers from$59.39",Not Found,4.6 out of 5 stars,"54,102",https://www.amazon.com/product-reviews/B07WML2XTD/ref=zg_bs_g_amazon-devices_d_sccl_25_cr/000-1042540-5283984
B09B93ZDG4,Amazon Devices & Accessories,"Amazon Echo Dot (newest model), Vibrant sounding Alexa speaker, Great for bedrooms, dining rooms and offices, Deep Sea Blue4.6 out of 5 stars154,7272 offers from$30.87",Not Found,4.6 out of 5 stars,"154,727",https://www.amazon.com/product-reviews/B09B93ZDG4/ref=zg_bs_g_amazon-devices_d_sccl_26_cr/000-1042540-5283984
B089DR29T6,Amazon Devices & Accessories,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities4.7 out of 5 stars568,6213 offers from$20.23",Not Found,4.7 out of 5 stars,"568,621",https://www.amazon.com/product-reviews/B089DR29T6/ref=zg_bs_g_amazon-devices_d_sccl_27_cr/000-1042540-5283984
B0CJDSNN4T,Amazon Devices & Accessories,"Amazon Fire TV 32"" 2-Series (newest model), HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable4.4 out of 5 stars10,8701 offer from$129.99",Not Found,4.4 out of 5 stars,"10,870",https://www.amazon.com/product-reviews/B0CJDSNN4T/ref=zg_bs_g_amazon-devices_d_sccl_28_cr/000-1042540-5283984
B09B94RL1R,Amazon Devices & Accessories,"Amazon Echo Dot (newest model), Vibrant sounding Alexa speaker, Great for bedrooms, dining rooms and offices, Glacier White4.6 out of 5 stars154,7272 offers from$37.49",Not Found,4.6 out of 5 stars,"154,727",https://www.amazon.com/product-reviews/B09B94RL1R/ref=zg_bs_g_amazon-devices_d_sccl_29_cr/000-1042540-5283984
B0BXLZHDNC,Amazon Devices & Accessories,"Like-New Amazon Fire TV Stick 4K Max streaming device (newest model) with AI-powered Fire TV Search, supports Wi-Fi 6E, free & live TV without cable or satellite4.5 out of 5 stars1,1591 offer from$35.99",Not Found,4.5 out of 5 stars,"1,159",https://www.amazon.com/product-reviews/B0BXLZHDNC/ref=zg_bs_g_amazon-devices_d_sccl_30_cr/000-1042540-5283984
B0BWHZJHPL,Appliances,"EUHOMY Countertop Ice Maker Machine with Handle, 26lbs in 24Hrs, 9 Ice Cubes Ready in 6 Mins, Auto-Cleaning Portable Ice Maker with Basket and Scoop, for Home/Kitchen/Camping/RV. (Black)4.4 out of 5 stars11,9326 offers from$50.90",Not Found,4.4 out of 5 stars,"11,932",https://www.amazon.com/product-reviews/B0BWHZJHPL/ref=zg_bs_g_appliances_d_sccl_1_cr/000-0000000-0000000
B0D93V1F1C,Appliances,"HealSmart Ice Maker for Countertop, 9 Ice Cubes Ready in 6 Mins, 26lbs Ice/24Hrs, with Self-Cleaning Feature, Ice Spoon and Basket, for Home, Kitchen, Camping, Party, Black4.4 out of 5 stars4769 offers from$43.44",Not Found,4.4 out of 5 stars,476,https://www.amazon.com/product-reviews/B0D93V1F1C/ref=zg_bs_g_appliances_d_sccl_2_cr/000-0000000-0000000
B0BXXKFJK2,Appliances,"Silonn Ice Maker Countertop, Portable Ice Machine with Carry Handle, Self-Cleaning Ice Makers with Basket and Scoop, 9 Cubes in 6 Mins, 26 lbs per Day, Ideal for Home, Kitchen, Camping, RV4.4 out of 5 stars4,3624 offers from$49.74",Not Found,4.4 out of 5 stars,"4,362",https://www.amazon.com/product-reviews/B0BXXKFJK2/ref=zg_bs_g_appliances_d_sccl_3_cr/000-0000000-0000000
B0C32SGKMJ,Appliances,"EUHOMY Nugget Ice Maker Countertop with Handle, Ready in 6 Mins, 34lbs Per Day, Removable Top Cover, Auto-Cleaning, Portable Sonic Ice Maker with Basket and Scoop, for Home/Party/RV/Camping (Black)4.2 out of 5 stars15,6556 offers from$97.52",Not Found,4.2 out of 5 stars,"15,655",https://www.amazon.com/product-reviews/B0C32SGKMJ/ref=zg_bs_g_appliances_d_sccl_4_cr/000-0000000-0000000
B07JBJWP2W,Appliances,"Frigidaire 26 Lbs per Day Portable Compact Maker, Ice Making Machine, Stainless, Medium4.4 out of 5 stars8,8988 offers from$68.88",Not Found,4.4 out of 5 stars,"8,898",https://www.amazon.com/product-reviews/B07JBJWP2W/ref=zg_bs_g_appliances_d_sccl_5_cr/000-0000000-0000000
